ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^2,9724.224881175349,45.323772267727534
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^2,9799.104227941074,45.42377420302767
CV->FO,0p5MuBF->Res,dphi^0,lndphi^2,8964.483153317457,45.205135452098055
CV->FO,0p5MuCt->Res,dphi^0,lndphi^2,9745.203486505843,45.332143221047325
CV->FO,0p5MuFac->Res,dphi^0,lndphi^2,8540.568858885617,45.06678553984283
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^2,9691.849846397987,35.13989596938877
CV->FO,0p5MuHard->Res,dphi^0,lndphi^2,9819.394122346972,45.350434944822354
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^2,9513.551011730755,45.26694559359384
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^2,9797.157985945454,45.35507888153869
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^2,9691.177549391758,45.28155338670081
CV->FO,2C0_np->Res,dphi^0,lndphi^2,9698.893899323733,45.282410230173774
CV->FO,2kappa_np->Res,dphi^0,lndphi^2,9765.798144058992,45.34815348881013
CV->FO,2MuBeam->Res,dphi^0,lndphi^2,9385.083941603762,45.266491217204994
CV->FO,2MuBF->Res,dphi^0,lndphi^2,10288.548473530373,45.47455292491192
CV->FO,2MuCt->Res,dphi^0,lndphi^2,9746.38722579038,45.32073334104904
CV->FO,2MuFac->Res,dphi^0,lndphi^2,10337.204745852017,45.520323865382714
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^2,9781.527027417154,44.758943656102005
CV->FO,2MuHard->Res,dphi^0,lndphi^2,9827.058483032586,45.33464121940616
CV->FO,2MuSoft->Res,dphi^0,lndphi^2,9662.520057855176,45.31968839699004
CV->FO,2NuBeam->Res,dphi^0,lndphi^2,9690.932369138674,45.27651177528306
CV->FO,2NuSoft->Res,dphi^0,lndphi^2,9797.824805312393,45.35562370778118
0p5MuF->FO,CV->Res,dphi^0,lndphi^2,9658.043503842098,42.299016748795424
0p5MuRF->FO,CV->Res,dphi^0,lndphi^2,9742.257162845039,78.77348604064865
0p5MuR->FO,CV->Res,dphi^0,lndphi^2,9831.753238740592,32.2416489013122
2MuF->FO,CV->Res,dphi^0,lndphi^2,9812.197674739346,35.25221125669031
2MuRF->FO,CV->Res,dphi^0,lndphi^2,9725.278543625667,44.25144773576264
2MuR->FO,CV->Res,dphi^0,lndphi^2,9643.401119260772,45.77771063387703
CV->FO,CV->Res,dphi^0,lndphi^2,9746.59079461863,45.32046553818835
CV->FO,0p5C0_np->Res,dphi^0,lndphi^3,-34947.638399941876,206.56056383376577
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^3,-34537.38755178303,206.27769451630317
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^3,-34799.48395364125,206.7706883482174
CV->FO,0p5MuBF->Res,dphi^0,lndphi^3,-31576.378472030025,205.6987629670535
CV->FO,0p5MuCt->Res,dphi^0,lndphi^3,-34642.398519869195,206.3546535982541
CV->FO,0p5MuFac->Res,dphi^0,lndphi^3,-30006.656021143597,205.1159968675528
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^3,-34522.681670977836,167.03047203473415
CV->FO,0p5MuHard->Res,dphi^0,lndphi^3,-34915.735061091866,206.43160499165887
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^3,-33751.04962137184,206.04946548644898
