"dist","acc","ScaleFO","ScaleRes","bin_lo","bin_hi","density","uncertainty"
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0,0.01,1722.385925655422,771.368517947313
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.01,0.02,5882.181420061109,80.39607869067822
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.02,0.03,8396.060962881404,64.0489507921324
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.03,0.04,9663.109477792848,62.38964923933362
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.04,0.05,9973.451912581646,65.88962848934439
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.05,0.06,9856.687776398716,71.08345656690011
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.06,0.07,9732.462097681753,266.83916380487346
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.07,0.08,8873.710368738924,188.24816593426655
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.08,0.09,8313.985878608972,175.3061676389418
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.09,0.1,7900.209741831404,157.2550056124499
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.1,0.11,7201.976238260332,146.72489514553055
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.11,0.12,6615.336382513523,124.53429985807419
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.12,0.13,6402.266864095643,110.24965249631165
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.13,0.14,5971.962469817293,107.00423725840947
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.14,0.15,5272.149278717986,101.61176255367688
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.15,0.16,5048.512350087796,87.08968072627087
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.16,0.17,4763.820766020739,81.5803596536135
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.17,0.18,4475.838432661125,74.69281388694519
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.18,0.19,4261.268557404727,65.29292235306367
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.19,0.2,3929.5538555345697,63.034408971888176
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.2,0.21,3761.0706434623926,54.81865090296946
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.21,0.22,3470.291695188883,52.529565366404114
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.22,0.23,3232.8665468269305,52.109509241150874
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.23,0.24,3067.902842420297,43.26131845228953
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.24,0.25,2872.5528054973115,41.69340258595442
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.25,0.26,2695.749335221366,40.53495130019775
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.26,0.27,2594.6932910850096,42.40937467589891
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.27,0.28,2406.440989635863,39.63641670613137
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.28,0.29,2281.6993812537335,32.43751286519417
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.29,0.3,2144.4743436188332,33.8169114173089
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.3,0.31,1994.8449999999998,31.699321203206853
"rTDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.31,0.32,1899.1160000000002,29.886775616144668
