"ScaleFO","ScaleRes","O1","O2","value","uncertainty"
"CV->FO","CV->Res","dphi^0","lndphi^1",-3445.1666070486217,8.083971250678774
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^2",10002.64934208725,29.492333809244634
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^2",9931.503511494546,29.424110136075775
"CV->FO","0p5MuBeam->Res","dphi^0","lndphi^2",9426.164195324645,29.384591536530127
"CV->FO","0p5MuBF->Res","dphi^0","lndphi^2",10131.72402604902,29.818463114821807
"CV->FO","0p5MuCt->Res","dphi^0","lndphi^2",9950.625289085665,29.43269739768306
"CV->FO","0p5MuFac->Res","dphi^0","lndphi^2",9779.982585034319,29.407195559607143
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^0","lndphi^2",9943.969423930992,24.37970390130461
"CV->FO","0p5MuHard->Res","dphi^0","lndphi^2",10041.311989591146,29.467651670473504
"CV->FO","0p5MuSoft->Res","dphi^0","lndphi^2",9951.419633562728,29.4274919638523
"CV->FO","0p5NuBeam->Res","dphi^0","lndphi^2",9946.576761068241,29.433798903054814
"CV->FO","0p5NuSoft->Res","dphi^0","lndphi^2",9954.847956458572,29.408787825583918
"CV->FO","2C0_np->Res","dphi^0","lndphi^2",9908.563782030045,29.362489256497657
"CV->FO","2kappa_np->Res","dphi^0","lndphi^2",9969.195638194242,29.45576071211633
"CV->FO","2MuBeam->Res","dphi^0","lndphi^2",9976.341644738888,29.476609677966337
"CV->FO","2MuBF->Res","dphi^0","lndphi^2",10203.17038150374,29.5363804947345
"CV->FO","2MuCt->Res","dphi^0","lndphi^2",9951.548227479609,29.416009504221226
"CV->FO","2MuFac->Res","dphi^0","lndphi^2",9764.366518264145,29.431522842838604
"2MuFtran->FO","2MuFtran->Res","dphi^0","lndphi^2",9959.742764007773,29.225670736508402
"CV->FO","2MuHard->Res","dphi^0","lndphi^2",9849.12535084803,29.3834624541278
"CV->FO","2MuSoft->Res","dphi^0","lndphi^2",10033.849252749107,29.479969032518547
"CV->FO","2NuBeam->Res","dphi^0","lndphi^2",9954.719265627535,29.400961920250566
"CV->FO","2NuSoft->Res","dphi^0","lndphi^2",9947.167078955988,29.434669305786514
"0p5MuF->FO","CV->Res","dphi^0","lndphi^2",9915.899163579239,27.33568790166888
"0p5MuRF->FO","CV->Res","dphi^0","lndphi^2",9948.282915883141,42.838645361351844
"0p5MuR->FO","CV->Res","dphi^0","lndphi^2",9983.493966367145,24.99377728141141
"2MuF->FO","CV->Res","dphi^0","lndphi^2",9970.083306245306,25.335494704049374
"2MuRF->FO","CV->Res","dphi^0","lndphi^2",9940.964420981652,29.213795383128552
"2MuR->FO","CV->Res","dphi^0","lndphi^2",9904.031331626435,29.48742397686809
"CV->FO","CV->Res","dphi^0","lndphi^2",9951.792352752265,29.416214953100038
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^3",-35200.65791946626,174.30991614963483
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^3",-34837.997231360554,174.01942459025665
"CV->FO","0p5MuBeam->Res","dphi^0","lndphi^3",-32666.98094198692,173.89634658401704
"CV->FO","0p5MuBF->Res","dphi^0","lndphi^3",-35650.08543694451,175.4532149469775
"CV->FO","0p5MuCt->Res","dphi^0","lndphi^3",-34930.439277360536,174.09427225022918
"CV->FO","0p5MuFac->Res","dphi^0","lndphi^3",-34307.947915304416,174.0409494994825
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^0","lndphi^3",-34905.939650316664,160.5156546844168
"CV->FO","0p5MuHard->Res","dphi^0","lndphi^3",-35274.87465083342,174.21444958066022
"CV->FO","0p5MuSoft->Res","dphi^0","lndphi^3",-34958.30351669405,174.08027645242305
"CV->FO","0p5NuBeam->Res","dphi^0","lndphi^3",-34891.992953628855,174.04780504467112
"CV->FO","0p5NuSoft->Res","dphi^0","lndphi^3",-34951.738960904026,174.01193311268196
"CV->FO","2C0_np->Res","dphi^0","lndphi^3",-34717.826843225455,173.84394977574425
"CV->FO","2kappa_np->Res","dphi^0","lndphi^3",-35024.27987724701,174.1485129428206
"CV->FO","2MuBeam->Res","dphi^0","lndphi^3",-35101.75969199426,174.31514186386607
"CV->FO","2MuBF->Res","dphi^0","lndphi^3",-35953.98081395215,174.47035300411002
"CV->FO","2MuCt->Res","dphi^0","lndphi^3",-34934.04061405704,174.02393895405615
"CV->FO","2MuFac->Res","dphi^0","lndphi^3",-34112.2924209007,174.04736048457852
"2MuFtran->FO","2MuFtran->Res","dphi^0","lndphi^3",-34948.08074277315,177.04741049001152
"CV->FO","2MuHard->Res","dphi^0","lndphi^3",-34529.18363565438,173.84633403894105
"CV->FO","2MuSoft->Res","dphi^0","lndphi^3",-35284.955283513016,174.23321064345157
"CV->FO","2NuBeam->Res","dphi^0","lndphi^3",-34956.3944094851,173.9867758645197
"CV->FO","2NuSoft->Res","dphi^0","lndphi^3",-34895.81925300197,174.06104358862422
"0p5MuF->FO","CV->Res","dphi^0","lndphi^3",-34843.529364496775,163.9820564448199
"0p5MuRF->FO","CV->Res","dphi^0","lndphi^3",-34835.309490922795,217.7044802244024
"0p5MuR->FO","CV->Res","dphi^0","lndphi^3",-34979.57775928848,184.433872755772
"2MuF->FO","CV->Res","dphi^0","lndphi^3",-34958.218837800785,165.26564112245347
"2MuRF->FO","CV->Res","dphi^0","lndphi^3",-34932.28675065958,169.347218769785
"2MuR->FO","CV->Res","dphi^0","lndphi^3",-34855.36703137639,165.79212167853518
"CV->FO","CV->Res","dphi^0","lndphi^3",-34938.34440054021,174.0454667241992
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^4",153188.68130523487,1673.6270461414535
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^4",151266.0167584476,1672.0187814599983
"CV->FO","0p5MuBeam->Res","dphi^0","lndphi^4",140691.55521884986,1671.4669901089953
"CV->FO","0p5MuBF->Res","dphi^0","lndphi^4",155071.7309234584,1678.697774840642
"CV->FO","0p5MuCt->Res","dphi^0","lndphi^4",151701.29870616522,1672.5251016298055
"CV->FO","0p5MuFac->Res","dphi^0","lndphi^4",149049.14422494356,1672.4707092186907
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^0","lndphi^4",151574.5182672255,1634.891618596568
"CV->FO","0p5MuHard->Res","dphi^0","lndphi^4",153286.7271847226,1673.104492974573
"CV->FO","0p5MuSoft->Res","dphi^0","lndphi^4",151938.63790795335,1672.4780122156933
"CV->FO","0p5NuBeam->Res","dphi^0","lndphi^4",151432.7009545158,1672.231941481886
"CV->FO","0p5NuSoft->Res","dphi^0","lndphi^4",151792.65095105715,1672.220278557479
"CV->FO","2C0_np->Res","dphi^0","lndphi^4",150596.1864597138,1671.500417332862
"CV->FO","2kappa_np->Res","dphi^0","lndphi^4",152216.75020190075,1672.6513439700404
"CV->FO","2MuBeam->Res","dphi^0","lndphi^4",152729.23003645794,1673.6308461991684
"CV->FO","2MuBF->Res","dphi^0","lndphi^4",156573.52218284245,1674.4177725547918
"CV->FO","2MuCt->Res","dphi^0","lndphi^4",151712.8957521792,1672.1695104948562
"CV->FO","2MuFac->Res","dphi^0","lndphi^4",147737.7099784938,1672.3973591846002
"2MuFtran->FO","2MuFtran->Res","dphi^0","lndphi^4",151601.54143969712,1701.203795578963
