ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,0p5C0_np->Res,dphi^0,lndphi^0,2077.2934273746887,9.877318516957944
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^0,2076.041953129663,9.874118959010119
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^0,2073.3600450989024,9.878012350377524
CV->FO,0p5MuBF->Res,dphi^0,lndphi^0,2082.6099861140683,9.903772432510284
CV->FO,0p5MuCt->Res,dphi^0,lndphi^0,2076.437405315126,9.873841711185909
CV->FO,0p5MuFac->Res,dphi^0,lndphi^0,2082.590308034107,9.884965044015061
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^0,2078.0122487756807,9.663416514778506
CV->FO,0p5MuHard->Res,dphi^0,lndphi^0,2079.6016905005063,9.874734938504535
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^0,2075.545766407612,9.87434704140886
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^0,2077.6221215020832,9.874764309870123
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^0,2075.689241268894,9.872646862144775
CV->FO,2C0_np->Res,dphi^0,lndphi^0,2076.032297684238,9.870611977979731
CV->FO,2kappa_np->Res,dphi^0,lndphi^0,2077.0194697178094,9.875252669672475
CV->FO,2MuBeam->Res,dphi^0,lndphi^0,2080.3454951781646,9.87586426501446
CV->FO,2MuBF->Res,dphi^0,lndphi^0,2082.279733022083,9.877227459064173
CV->FO,2MuCt->Res,dphi^0,lndphi^0,2076.535700094203,9.873445016774996
CV->FO,2MuFac->Res,dphi^0,lndphi^0,2069.1066655747322,9.878219370317872
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^0,2076.832713674431,9.824329880826474
CV->FO,2MuHard->Res,dphi^0,lndphi^0,2072.110221640175,9.873718665690935
CV->FO,2MuSoft->Res,dphi^0,lndphi^0,2080.6204737301987,9.875782196833573
CV->FO,2NuBeam->Res,dphi^0,lndphi^0,2075.638094614663,9.872507139673388
CV->FO,2NuSoft->Res,dphi^0,lndphi^0,2077.719185631672,9.874799620253224
0p5MuF->FO,CV->Res,dphi^0,lndphi^0,2067.774834862995,9.65667754414988
0p5MuRF->FO,CV->Res,dphi^0,lndphi^0,2061.2641347603603,12.742144115053973
0p5MuR->FO,CV->Res,dphi^0,lndphi^0,2063.3690322633192,12.384623483519016
2MuF->FO,CV->Res,dphi^0,lndphi^0,2082.732882804761,10.286126046853571
2MuRF->FO,CV->Res,dphi^0,lndphi^0,2084.758845167922,9.254864942468545
2MuR->FO,CV->Res,dphi^0,lndphi^0,2074.2472288005865,9.04595074019861
CV->FO,CV->Res,dphi^0,lndphi^0,2076.5912372761572,9.87332340045085
CV->FO,0p5C0_np->Res,dphi^0,lndphi^1,-3360.936186096612,29.655910753809383
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^1,-3347.9974268393103,29.650079564958933
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^1,-3330.924224796014,29.65729074779307
CV->FO,0p5MuBF->Res,dphi^0,lndphi^1,-3389.1905636699516,29.702432072881365
CV->FO,0p5MuCt->Res,dphi^0,lndphi^1,-3351.6154391450377,29.65001383139887
CV->FO,0p5MuFac->Res,dphi^0,lndphi^1,-3385.977821001616,29.671441115547925
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^1,-3352.7969081357137,29.195078739604266
CV->FO,0p5MuHard->Res,dphi^0,lndphi^1,-3359.154285122295,29.65164540840798
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^1,-3352.555781893982,29.650264496342167
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^1,-3355.5011429754427,29.65141411703169
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^1,-3349.4576888926963,29.647977250500606
CV->FO,2C0_np->Res,dphi^0,lndphi^1,-3344.157806950328,29.644146634663276
CV->FO,2kappa_np->Res,dphi^0,lndphi^1,-3355.2282300887387,29.65259553452814
CV->FO,2MuBeam->Res,dphi^0,lndphi^1,-3373.1725920022736,29.654944304062198
CV->FO,2MuBF->Res,dphi^0,lndphi^1,-3370.0048287594077,29.655628705850486
CV->FO,2MuCt->Res,dphi^0,lndphi^1,-3351.9214554388386,29.64892981846695
CV->FO,2MuFac->Res,dphi^0,lndphi^1,-3316.8825709428497,29.65674833378005
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^1,-3351.7871126117993,29.580965729484316
CV->FO,2MuHard->Res,dphi^0,lndphi^1,-3339.7956503932974,29.64907390318606
CV->FO,2MuSoft->Res,dphi^0,lndphi^1,-3365.0733776984503,29.653377043108545
CV->FO,2NuBeam->Res,dphi^0,lndphi^1,-3349.308780503279,29.647440401397745
CV->FO,2NuSoft->Res,dphi^0,lndphi^1,-3355.717393631685,29.651457454399008
0p5MuF->FO,CV->Res,dphi^0,lndphi^1,-3347.716094835751,28.686076513992383
0p5MuRF->FO,CV->Res,dphi^0,lndphi^1,-3308.1198163821955,37.177403424570684
0p5MuR->FO,CV->Res,dphi^0,lndphi^1,-3308.0778243168816,36.97054468748552
2MuF->FO,CV->Res,dphi^0,lndphi^1,-3352.2446556268537,30.595873442547852
2MuRF->FO,CV->Res,dphi^0,lndphi^1,-3380.1222653639247,26.433736874206655
2MuR->FO,CV->Res,dphi^0,lndphi^1,-3373.4025599593383,25.787844803396972
CV->FO,CV->Res,dphi^0,lndphi^1,-3351.9997593937455,29.64874421243162
CV->FO,0p5C0_np->Res,dphi^0,lndphi^2,9786.06738196965,140.47142364755365
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^2,9718.796755063842,140.45754180185486
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^2,9637.588283701238,140.47622111338848
CV->FO,0p5MuBF->Res,dphi^0,lndphi^2,9901.440262465345,140.57682432586026
CV->FO,0p5MuCt->Res,dphi^0,lndphi^2,9736.6520688931,140.4593390879148
CV->FO,0p5MuFac->Res,dphi^0,lndphi^2,9889.599254063663,140.5115127743635
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^2,9735.574762863202,139.43142184080563
CV->FO,0p5MuHard->Res,dphi^0,lndphi^2,9760.102020411492,140.46236506198875
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^2,9748.845901626759,140.45896673714577
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^2,9748.434689201713,140.4596869004219
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^2,9732.070528876144,140.45450919749877
CV->FO,2C0_np->Res,dphi^0,lndphi^2,9696.863800705725,140.44498290425588
CV->FO,2kappa_np->Res,dphi^0,lndphi^2,9754.178435214404,140.46432562680516
CV->FO,2MuBeam->Res,dphi^0,lndphi^2,9834.776797743763,140.47433717000598
CV->FO,2MuBF->Res,dphi^0,lndphi^2,9805.324711102021,140.47167161586296
CV->FO,2MuCt->Res,dphi^0,lndphi^2,9737.848617518002,140.4560187042105
CV->FO,2MuFac->Res,dphi^0,lndphi^2,9589.058860923513,140.47218708703878
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^2,9736.136258504173,140.4664651598297
CV->FO,2MuHard->Res,dphi^0,lndphi^2,9696.717029801499,140.45343756435986
CV->FO,2MuSoft->Res,dphi^0,lndphi^2,9787.181936982219,140.46631910463262
CV->FO,2NuBeam->Res,dphi^0,lndphi^2,9732.081754377981,140.4528788939567
CV->FO,2NuSoft->Res,dphi^0,lndphi^2,9749.039429260816,140.45981866718245
0p5MuF->FO,CV->Res,dphi^0,lndphi^2,9726.024922582319,131.86485973967675
0p5MuRF->FO,CV->Res,dphi^0,lndphi^2,9626.828500803766,168.38864225018204
0p5MuR->FO,CV->Res,dphi^0,lndphi^2,9638.239530860725,176.68636468529013
2MuF->FO,CV->Res,dphi^0,lndphi^2,9732.992887064109,147.90553660285212
2MuRF->FO,CV->Res,dphi^0,lndphi^2,9796.903542250499,123.8851611651641
2MuR->FO,CV->Res,dphi^0,lndphi^2,9783.146987770151,118.20442092876796
CV->FO,CV->Res,dphi^0,lndphi^2,9738.103990430931,140.45608840442938
CV->FO,0p5C0_np->Res,dphi^0,lndphi^3,-34894.13264714813,1259.8165603487785
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^3,-34557.93773830567,1259.7780205143501
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^3,-34162.61156050293,1259.8272315024794
CV->FO,0p5MuBF->Res,dphi^0,lndphi^3,-35392.822980933175,1260.0621924132524
CV->FO,0p5MuCt->Res,dphi^0,lndphi^3,-34641.11230569094,1259.7879743001195
CV->FO,0p5MuFac->Res,dphi^0,lndphi^3,-35354.471135199565,1259.9189533716797
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^3,-34627.68551085508,1257.857244108263
CV->FO,0p5MuHard->Res,dphi^0,lndphi^3,-34731.20338196277,1259.7954138095135
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^3,-34720.4067587989,1259.7879930141098
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^3,-34677.58663027524,1259.7822439898498
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^3,-34633.47644123735,1259.7771034568163
CV->FO,2C0_np->Res,dphi^0,lndphi^3,-34442.50576072116,1259.7542435072553
CV->FO,2kappa_np->Res,dphi^0,lndphi^3,-34729.29515920659,1259.7965363899636
CV->FO,2MuBeam->Res,dphi^0,lndphi^3,-35106.443729423,1259.832599750182
CV->FO,2MuBF->Res,dphi^0,lndphi^3,-34939.893208183574,1259.817979632117
CV->FO,2MuCt->Res,dphi^0,lndphi^3,-34646.8403239975,1259.7791970831968
CV->FO,2MuFac->Res,dphi^0,lndphi^3,-33979.09667349834,1259.8143264129774
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^3,-34626.941603948595,1260.377184703816
CV->FO,2MuHard->Res,dphi^0,lndphi^3,-34482.63625923681,1259.765296964803
CV->FO,2MuSoft->Res,dphi^0,lndphi^3,-34858.882163468064,1259.7997432304305
CV->FO,2NuBeam->Res,dphi^0,lndphi^3,-34639.332824877056,1259.7736531674943
CV->FO,2NuSoft->Res,dphi^0,lndphi^3,-34681.711503152525,1259.7837986698803
0p5MuF->FO,CV->Res,dphi^0,lndphi^3,-34582.191809027776,1138.8737362505726
0p5MuRF->FO,CV->Res,dphi^0,lndphi^3,-34359.2915932937,1448.0276809345874
0p5MuR->FO,CV->Res,dphi^0,lndphi^3,-34484.769479653485,1600.5812309834766
2MuF->FO,CV->Res,dphi^0,lndphi^3,-34627.5026001888,1362.1075507693283
2MuRF->FO,CV->Res,dphi^0,lndphi^3,-34745.176472326064,1110.9479236589339
2MuR->FO,CV->Res,dphi^0,lndphi^3,-34723.65140126045,1030.035948032407
CV->FO,CV->Res,dphi^0,lndphi^3,-34650.720010390345,1259.7818389587871
CV->FO,0p5C0_np->Res,dphi^0,lndphi^4,155423.3355669846,13850.98607439938
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^4,153669.711778575,13850.7994316282
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^4,151571.5808309628,13850.977905453925
CV->FO,0p5MuBF->Res,dphi^0,lndphi^4,157879.47997006023,13851.936029049557
CV->FO,0p5MuCt->Res,dphi^0,lndphi^4,154042.88900886604,13850.858250296385
CV->FO,0p5MuFac->Res,dphi^0,lndphi^4,157738.97751643174,13851.38147920032
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^4,153945.24099721698,13845.905184890646
