"dist","acc","ScaleFO","ScaleRes","bin_lo","bin_hi","density","uncertainty"
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.413,1.4444,169.3171131556825,1.0360857491272744
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.4444,1.4758,162.7529859179108,1.072869554551795
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.4758,1.5072,153.83563302027719,1.0742953281361847
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.5072,1.5386,147.52607976395498,1.036030929876546
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.5386,1.57,143.37058251663862,1.0926883962999225
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.57,1.6014,137.97048239815712,1.167301200360775
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.6014,1.6328,132.40927629768854,0.9855934120717438
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.6328,1.6642,124.85407731849884,0.8568819453936088
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.6642,1.6956,121.93643413668832,0.8522707440508135
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.6956,1.727,118.53166413991556,0.7698589251670469
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.727,1.7584,112.0358511645687,0.8608049231046595
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.7584,1.7898,109.20925277923094,0.8392950594264905
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.7898,1.8212,104.44611271732175,0.7786991726411427
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.8212,1.8526,102.01394308976356,0.8145074094310301
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.8526,1.884,99.84943089828398,0.8477662375368836
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.884,1.9154,93.52073049242551,0.8262040059413062
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.9154,1.9468,91.33597833902722,0.7740015284133552
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.9468,1.9782,88.60501340959534,0.8160885934883306
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",1.9782,2.0096,85.71570993545127,0.7616663214216153
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.0096,2.041,82.8285677148012,0.7080619090834346
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.041,2.0724,81.30753701569178,0.7849646872427044
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.0724,2.1038,78.97675939275564,0.8072830174413571
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.1038,2.1352,74.41841301577823,0.7166014374977535
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.1352,2.1666,74.73908629593087,0.7188404433009041
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.1666,2.198,70.8538386638567,0.70170327688992
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.198,2.2294,70.84220133035363,0.6136204057600022
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.2294,2.2608,67.32588028641761,0.6361469885064805
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.2608,2.2922,64.91564137037034,1.5019382204222675
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.2922,2.3236,67.64399200915776,1.5475653688276687
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.3236,2.355,63.79592585462939,0.5985673147053115
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.355,2.3864,60.75713034809894,0.6700902505365695
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.3864,2.4178,59.96707530098811,0.6822929120239896
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",2.4178,2.4492,58.795183554690766,0.6508687255071187
