"ScaleFO","ScaleRes","O1","O2","value","uncertainty"
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^0",2105.981240486564,7.243998042405231
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^0",2104.760227355481,7.238631009561557
"CV->FO","0p5MuBeam->Res","dphi^0","lndphi^0",2108.4898684585733,7.300745104306966
"CV->FO","0p5MuBF->Res","dphi^0","lndphi^0",2111.5893126913556,7.277808025710845
"CV->FO","0p5MuCt->Res","dphi^0","lndphi^0",2105.205961820832,7.238843263845848
"CV->FO","0p5MuFac->Res","dphi^0","lndphi^0",2113.407910566729,7.250654888446913
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^0","lndphi^0",2107.0912133819356,6.973582523110153
"CV->FO","0p5MuHard->Res","dphi^0","lndphi^0",2105.9183343837417,7.23873099493191
"CV->FO","0p5MuSoft->Res","dphi^0","lndphi^0",2104.218887827633,7.2364015318458765
"CV->FO","0p5NuBeam->Res","dphi^0","lndphi^0",2106.2757463633466,7.24512748532815
"CV->FO","0p5NuSoft->Res","dphi^0","lndphi^0",2104.613795724177,7.23516428862846
"CV->FO","2C0_np->Res","dphi^0","lndphi^0",2104.837949990874,7.233260576490308
"CV->FO","2kappa_np->Res","dphi^0","lndphi^0",2105.642964149743,7.24196820983985
"CV->FO","2MuBeam->Res","dphi^0","lndphi^0",2106.939924500808,7.232349881983274
"CV->FO","2MuBF->Res","dphi^0","lndphi^0",2102.916477787421,7.239584769293076
"CV->FO","2MuCt->Res","dphi^0","lndphi^0",2105.2496498595297,7.237916805576065
"CV->FO","2MuFac->Res","dphi^0","lndphi^0",2101.048997589,7.26777397052575
"2MuFtran->FO","2MuFtran->Res","dphi^0","lndphi^0",2105.777596809893,7.174621636456106
"CV->FO","2MuHard->Res","dphi^0","lndphi^0",2103.936699548948,7.242147080419453
"CV->FO","2MuSoft->Res","dphi^0","lndphi^0",2107.440671679627,7.239544448591264
"CV->FO","2NuBeam->Res","dphi^0","lndphi^0",2104.5812543447473,7.2348832929427065
"CV->FO","2NuSoft->Res","dphi^0","lndphi^0",2106.3643291099843,7.245454676144695
"0p5MuF->FO","CV->Res","dphi^0","lndphi^0",2100.1156645577994,8.044691537269786
"0p5MuRF->FO","CV->Res","dphi^0","lndphi^0",2108.2990055026594,10.961226931679246
"0p5MuR->FO","CV->Res","dphi^0","lndphi^0",2104.8375182931595,9.681857424176734
"2MuF->FO","CV->Res","dphi^0","lndphi^0",2109.2402252677375,7.881014336151838
"2MuRF->FO","CV->Res","dphi^0","lndphi^0",2103.3901735543686,8.830788934438608
"2MuR->FO","CV->Res","dphi^0","lndphi^0",2094.8324142855226,8.788122845401249
"CV->FO","CV->Res","dphi^0","lndphi^0",2105.2779949743854,7.23830743070213
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^1",-3429.16171119907,14.883221528436197
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^1",-3416.114567532581,14.867562396147834
"CV->FO","0p5MuBeam->Res","dphi^0","lndphi^1",-3433.6199896643343,15.01450230038097
"CV->FO","0p5MuBF->Res","dphi^0","lndphi^1",-3452.603587032579,14.966338800465605
"CV->FO","0p5MuCt->Res","dphi^0","lndphi^1",-3419.793232340926,14.869479900825388
"CV->FO","0p5MuFac->Res","dphi^0","lndphi^1",-3463.9829791051616,14.907764081654431
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^0","lndphi^1",-3421.787226052329,13.996539721842492
"CV->FO","0p5MuHard->Res","dphi^0","lndphi^1",-3421.1934177553967,14.870294289509413
"CV->FO","0p5MuSoft->Res","dphi^0","lndphi^1",-3416.710434541641,14.861654052241002
"CV->FO","0p5NuBeam->Res","dphi^0","lndphi^1",-3425.003249838999,14.883843231914387
"CV->FO","0p5NuSoft->Res","dphi^0","lndphi^1",-3416.7071829884953,14.860823980710851
"CV->FO","2C0_np->Res","dphi^0","lndphi^1",-3412.408209784721,14.855319923622602
"CV->FO","2kappa_np->Res","dphi^0","lndphi^1",-3423.0909029834725,14.877103722815338
"CV->FO","2MuBeam->Res","dphi^0","lndphi^1",-3432.3852221847656,14.85843522851098
"CV->FO","2MuBF->Res","dphi^0","lndphi^1",-3411.2656647485755,14.873779588693967
"CV->FO","2MuCt->Res","dphi^0","lndphi^1",-3420.020380768081,14.865923440710517
"CV->FO","2MuFac->Res","dphi^0","lndphi^1",-3399.9083071253804,14.93972764305331
"2MuFtran->FO","2MuFtran->Res","dphi^0","lndphi^1",-3420.3043837013333,14.712480259131897
"CV->FO","2MuHard->Res","dphi^0","lndphi^1",-3416.8415896785923,14.876073246482687
"CV->FO","2MuSoft->Res","dphi^0","lndphi^1",-3427.5088310213164,14.87193174558579
"CV->FO","2NuBeam->Res","dphi^0","lndphi^1",-3416.611230263834,14.859202148622234
"CV->FO","2NuSoft->Res","dphi^0","lndphi^1",-3425.2180861818924,14.884230978335273
"0p5MuF->FO","CV->Res","dphi^0","lndphi^1",-3425.0107802733783,16.43597152894709
"0p5MuRF->FO","CV->Res","dphi^0","lndphi^1",-3421.257825075769,22.67892404867886
"0p5MuR->FO","CV->Res","dphi^0","lndphi^1",-3406.4622753458175,18.963820618079293
"2MuF->FO","CV->Res","dphi^0","lndphi^1",-3414.233479742449,15.794725045502387
"2MuRF->FO","CV->Res","dphi^0","lndphi^1",-3423.201689998088,17.726645068376804
"2MuR->FO","CV->Res","dphi^0","lndphi^1",-3421.925220673298,17.72913655330338
"CV->FO","CV->Res","dphi^0","lndphi^1",-3420.046496002302,14.866824983722084
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^2",9915.386478200599,49.826579730649726
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^2",9848.656008826154,49.777565252043736
