"dist","acc","ScaleFO","ScaleRes","bin_lo","bin_hi","density","uncertainty"
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0,0.0314,6546.1415442081025,380.61537984848246
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.0314,0.0628,6091.982166891588,58.826991736514564
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.0628,0.0942,5430.763747524073,50.81783036266555
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.0942,0.1256,4715.423534591675,53.49847180341845
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.1256,0.157,4071.008908309674,51.753251129057006
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.157,0.1884,3459.819711378547,52.38157134673713
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.1884,0.2198,2973.0797172882894,45.3882987711224
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.2198,0.2512,2679.083316546178,39.44733873871412
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.2512,0.2826,2340.6661754137976,31.55007506283679
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.2826,0.314,2099.6985255688887,28.62223849613042
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.314,0.3454,1819.859431832005,26.13461725504278
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.3454,0.3768,1696.2003677986686,23.645360912891956
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.3768,0.4082,1581.2890994235563,23.85832916854381
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.4082,0.4396,1393.196961615864,22.81432958072223
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.4396,0.471,1272.2468365110885,18.201082602567254
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.471,0.5024,1118.2927364400466,16.72753044352261
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.5024,0.5338,1009.427303344421,16.92571028014119
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.5338,0.5652,963.6324781000187,14.658762662128895
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.5652,0.5966,858.7904076782988,15.131561908973111
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.5966,0.628,790.710993293218,12.966071441803502
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.628,0.6594,753.593241437397,12.200139452506779
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.6594,0.6908,689.7953379329206,11.181461080116513
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.6908,0.7222,657.815593699131,11.436454787605339
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.7222,0.7536,604.0778496864725,10.084536263985637
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.7536,0.785,566.8091717748998,10.57535168570658
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.785,0.8164,537.3005187808628,8.893279003510626
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.8164,0.8478,515.7165599326047,8.379933493878573
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.8478,0.8792,468.0848500170414,8.712067582391422
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.8792,0.9106,431.35483310307967,8.42979788939282
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.9106,0.942,412.9964965637098,7.795378194644454
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.942,0.9734,378.0585336949031,7.2055678065219615
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",0.9734,1.0048,374.68116192885736,6.768853717339359
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.0048,1.0362,348.3071801608451,6.881701311331523
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.0362,1.0676,321.3700672543353,7.030016244393891
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.0676,1.099,302.36996212553925,5.948834262591758
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.099,1.1304,295.06658374730455,6.351324022041284
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.1304,1.1618,281.35073261020943,6.537008602398083
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.1618,1.1932,265.3254971581064,6.044707362689009
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.1932,1.2246,242.7417214799395,5.552360287535966
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.2246,1.256,238.7047135096011,5.324085872595073
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.256,1.2874,223.29320035914643,5.199468362720526
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.2874,1.3188,209.65649107887242,4.871263734897601
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.3188,1.3502,206.57048090165364,4.63628036140209
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.3502,1.3816,199.04544670194,4.735239612743354
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.3816,1.413,187.86284610533133,4.475149229660701
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.413,1.4444,180.68250286231668,4.073518759990851
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.4444,1.4758,171.94426043766995,4.021352105626664
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.4758,1.5072,164.73575195047593,4.076930803155936
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.5072,1.5386,155.24235944832645,3.7668358360576897
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.5386,1.57,159.01290977812,3.8388201897273753
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.57,1.6014,146.85246011446125,4.074621487262371
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.6014,1.6328,133.95132946664066,3.614592046190316
"dphiDist","N4LL'+N3LO","CV->FO","0p5C0_np->Res",1.6328,1.6642,128.9672235095395,3.2807492771335687
